"","x"
"1",2.15498044153638
"2",3.25416535589951
"3",4.62866565632436
"4",6.23412436159998
"5",7.99073036086997
"6",9.79447417675673
"7",11.5333651660428
"8",13.1042515934405
"9",14.4263021021484
"10",15.4487790444502
"11",16.1526477363851
"12",16.5471097289263
"13",16.6629634850053
"14",16.5447868884517
"15",16.2435325019608
"16",15.8105161536801
"17",15.293191675395
"18",14.7326662080011
"19",14.1626551417847
"20",13.6094779435146
"21",13.0927058380853
"22",12.6261393801305
"23",12.2188800236391
"24",11.8763411609691
"25",11.6011094526087
"26",11.3936137852468
"27",11.2525888440419
"28",11.1753371280337
"29",11.1578018307945
"30",11.1944676407129
"31",11.2781109732529
"32",11.3994287051024
"33",11.5465878689572
"34",11.704759925561
"35",11.8557326658416
"36",11.9777284848917
"37",12.0455936423292
"38",12.0315475343488
"39",11.9066760204156
"40",11.6432957799957
"41",11.2181855646005
"42",10.6164645740373
"43",9.83561427054393
"44",8.88884584581532
"45",7.80681647556675
"46",6.63672822549181
"47",5.438218920147
"48",4.27619411927064
"49",3.21170801408065
"50",2.29285623419004
