   f   block y.1 y.2 y.3 y.4 y.5 y.6 y.7 y.8 y.mean
1  C block01   2   7   2   1   3   2   2   2  2.625
2  C block02   6   4   3   5   3   2   0   1  3.000
3  C block03   3   3   3   3   2   2   0   1  2.125
4  C block04   1   3   5   4   5  11   3   2  4.250
5  C block05   2   3   5   1   5   4   7   4  3.875
6  C block06   4   3   1   3   5   4   3   4  3.375
7  T block07   5   8   7   3   1   5   4   0  4.125
8  T block08   5   3   2   3   2   4   4   2  3.125
9  T block09   5   5   5   3   4   2   4   3  3.875
10 T block10   0   2   1   3   3   7  10   2  3.500
11 T block11   4   3   3   5   2   4   3   5  3.625
12 T block12   5   6   4   3   4  10   3   4  4.875
     f   block  y
1.1  C block01  2
2.1  C block02  6
3.1  C block03  3
4.1  C block04  1
5.1  C block05  2
6.1  C block06  4
7.1  T block07  5
8.1  T block08  5
9.1  T block09  5
10.1 T block10  0
11.1 T block11  4
12.1 T block12  5
1.2  C block01  7
2.2  C block02  4
3.2  C block03  3
4.2  C block04  3
5.2  C block05  3
6.2  C block06  3
7.2  T block07  8
8.2  T block08  3
9.2  T block09  5
10.2 T block10  2
11.2 T block11  3
12.2 T block12  6
1.3  C block01  2
2.3  C block02  3
3.3  C block03  3
4.3  C block04  5
5.3  C block05  5
6.3  C block06  1
7.3  T block07  7
8.3  T block08  2
9.3  T block09  5
10.3 T block10  1
11.3 T block11  3
12.3 T block12  4
1.4  C block01  1
2.4  C block02  5
3.4  C block03  3
4.4  C block04  4
5.4  C block05  1
6.4  C block06  3
7.4  T block07  3
8.4  T block08  3
9.4  T block09  3
10.4 T block10  3
11.4 T block11  5
12.4 T block12  3
1.5  C block01  3
2.5  C block02  3
3.5  C block03  2
4.5  C block04  5
5.5  C block05  5
6.5  C block06  5
7.5  T block07  1
8.5  T block08  2
9.5  T block09  4
10.5 T block10  3
11.5 T block11  2
12.5 T block12  4
1.6  C block01  2
2.6  C block02  2
3.6  C block03  2
4.6  C block04 11
5.6  C block05  4
6.6  C block06  4
7.6  T block07  5
8.6  T block08  4
9.6  T block09  2
10.6 T block10  7
11.6 T block11  4
12.6 T block12 10
1.7  C block01  2
2.7  C block02  0
3.7  C block03  0
4.7  C block04  3
5.7  C block05  7
6.7  C block06  3
7.7  T block07  4
8.7  T block08  4
9.7  T block09  4
10.7 T block10 10
11.7 T block11  3
12.7 T block12  3
1.8  C block01  2
2.8  C block02  1
3.8  C block03  1
4.8  C block04  2
5.8  C block05  4
6.8  C block06  4
7.8  T block07  0
8.8  T block08  2
9.8  T block09  3
10.8 T block10  2
11.8 T block11  5
12.8 T block12  4
