N,y,x
8,1,2
8,0,2
8,1,2
8,2,2
8,2,2
8,0,2
8,0,2
8,3,2
8,2,2
8,0,2
8,0,2
8,1,2
8,2,2
8,0,2
8,0,2
8,1,2
8,0,2
8,1,2
8,1,2
8,0,2
8,2,3
8,1,3
8,4,3
8,0,3
8,4,3
8,3,3
8,1,3
8,2,3
8,1,3
8,3,3
8,2,3
8,0,3
8,1,3
8,0,3
8,1,3
8,1,3
8,0,3
8,1,3
8,2,3
8,2,3
8,4,4
8,5,4
8,3,4
8,5,4
8,2,4
8,3,4
8,4,4
8,4,4
8,4,4
8,3,4
8,5,4
8,7,4
8,3,4
8,4,4
8,4,4
8,3,4
8,2,4
8,2,4
8,2,4
8,7,4
8,8,5
8,6,5
8,4,5
8,6,5
8,8,5
8,6,5
8,5,5
8,7,5
8,4,5
8,8,5
8,5,5
8,3,5
8,5,5
8,5,5
8,5,5
8,6,5
8,6,5
8,8,5
8,7,5
8,5,5
8,7,6
8,6,6
8,7,6
8,7,6
8,7,6
8,8,6
8,6,6
8,8,6
8,6,6
8,6,6
8,8,6
8,6,6
8,6,6
8,6,6
8,6,6
8,7,6
8,7,6
8,6,6
8,7,6
8,7,6
