N,x,re,y,id
8,2,0.593698263274815,0,1
8,2,-3.52666558255747,1,2
8,2,-0.392205763127362,2,3
8,2,1.84362863530042,4,4
8,2,-0.574068526706586,1,5
8,2,-0.136098773420119,0,6
8,2,0.54939338819286,0,7
8,2,3.01509329920172,7,8
8,2,-0.212117984735717,1,9
8,2,3.3902915398404,6,10
8,2,-2.13084345183774,0,11
8,2,-3.61392762014931,0,12
8,2,-2.68993389852787,0,13
8,2,-1.25015303985066,0,14
8,2,-2.79594952343581,0,15
8,2,-2.17315144571088,1,16
8,2,1.78095131918113,3,17
8,2,2.71177558339582,5,18
8,2,0.0635719900151173,3,19
8,2,4.86698309564948,7,20
8,3,0.131228675690836,2,21
8,3,-1.25889788536007,1,22
8,3,-2.25208747218908,0,23
8,3,1.40721119072434,6,24
8,3,-1.96824433689039,1,25
8,3,-0.0517051544518699,2,26
8,3,-4.57681295051918,0,27
8,3,-4.82259967209406,0,28
8,3,-2.74147774938045,0,29
8,3,-0.452679712092905,3,30
8,3,1.32715929392133,5,31
8,3,2.57083777908932,5,32
8,3,-4.21010482729213,0,33
8,3,-3.40357153297466,0,34
8,3,-2.26185239909855,0,35
8,3,7.16249971779679,8,36
8,3,1.62669503359788,4,37
8,3,-0.454361317752201,2,38
8,3,-4.16350794379193,0,39
8,3,4.13355278110069,8,40
8,4,2.06940097119783,6,41
8,4,-1.74890038320691,2,42
8,4,-4.67457119326917,0,43
8,4,-0.54960656504654,5,44
8,4,0.61668270016495,6,45
8,4,-0.777391549289909,2,46
8,4,3.1328769817368,8,47
8,4,-1.89404396379580,2,48
8,4,1.90608347454634,7,49
8,4,3.99632593989727,7,50
8,4,5.74475592184812,8,51
8,4,-7.36328728119294,0,52
8,4,-0.575781647717058,4,53
8,4,2.14572110764905,7,54
8,4,-0.187037650101198,3,55
8,4,-3.56288171732266,1,56
8,4,0.202891716608946,3,57
8,4,-0.608767068063228,2,58
8,4,6.76767636665938,8,59
8,4,-3.23168390049615,0,60
8,5,1.96835237971475,7,61
8,5,-0.121387578570524,4,62
8,5,-1.17893713925238,2,63
8,5,-2.99834545154786,3,64
8,5,-1.35684000127320,3,65
8,5,0.516555823120586,7,66
8,5,6.84483596679944,8,67
8,5,1.29496353289248,7,68
8,5,-2.60491932848259,0,69
8,5,1.31773805586079,7,70
8,5,2.23096489329728,8,71
8,5,5.0851787034961,8,72
8,5,2.60149510774294,8,73
8,5,0.247709449186981,6,74
8,5,0.458803790756249,7,75
8,5,-0.848611584814861,4,76
8,5,0.428966866537560,5,77
8,5,-2.41633202884224,1,78
8,5,3.01881653660914,8,79
8,5,-3.34897035587888,2,80
8,6,-1.5589777433011,1,81
8,6,-4.24370148163128,1,82
8,6,-6.58574316980697,0,83
8,6,0.917274243241418,8,84
8,6,1.92558721962052,8,85
8,6,0.0598812645072355,8,86
8,6,0.493364771701844,8,87
8,6,6.52577566366255,8,88
8,6,0.650262067658375,8,89
8,6,0.723724630064017,8,90
8,6,1.11500187362183,8,91
8,6,-5.83114404948495,0,92
8,6,-0.584855623261488,6,93
8,6,-3.15788633526703,3,94
8,6,-2.38331241875496,3,95
8,6,-0.969793245869124,7,96
8,6,-0.85665294123648,5,97
8,6,0.0606688961270594,7,98
8,6,-3.01689106927433,2,99
8,6,0.307768953987428,8,100
