Inference for Bugs model at "/home/kubo/public_html/stat/iwanami/fig/hbm/model.bug.txt", fit using WinBUGS,
 3 chains, each with 2100 iterations (first 100 discarded), n.thin = 5
 n.sims = 1200 iterations saved
            mean     sd    2.5%     25%     50%     75%   97.5%  Rhat n.eff
tau        0.117  0.029   0.071   0.096   0.113   0.133   0.184 1.001  1200
beta      -0.002  0.347  -0.699  -0.228  -0.011   0.242   0.657 1.005   580
r[1]      -3.841  1.765  -7.834  -4.858  -3.641  -2.564  -0.954 1.002   860
r[2]      -1.195  0.901  -3.086  -1.759  -1.151  -0.577   0.458 1.004   450
r[3]       2.094  1.154   0.152   1.309   1.985   2.760   4.702 1.003   600
r[4]       3.900  1.747   1.158   2.640   3.697   4.847   8.136 1.001  1200
r[5]      -2.032  1.074  -4.359  -2.669  -1.914  -1.280  -0.202 1.000  1200
r[6]       2.038  1.121   0.156   1.284   1.914   2.735   4.453 1.001  1200
r[7]       3.718  1.702   1.082   2.514   3.476   4.714   7.793 1.003   670
r[8]       3.742  1.681   1.110   2.558   3.495   4.704   7.642 1.008  1200
r[9]      -2.003  1.104  -4.393  -2.653  -1.920  -1.290  -0.011 1.001  1200
r[10]     -2.069  1.102  -4.475  -2.729  -1.984  -1.286  -0.183 1.003   770
r[11]      0.024  0.803  -1.503  -0.542   0.007   0.565   1.624 1.001  1200
r[12]     -3.828  1.761  -7.740  -4.869  -3.571  -2.512  -1.129 1.003   610
r[13]     -1.983  1.069  -4.416  -2.635  -1.881  -1.233  -0.160 1.001  1200
r[14]      0.000  0.824  -1.638  -0.528   0.004   0.530   1.655 1.001  1200
r[15]      2.041  1.101   0.121   1.241   1.974   2.712   4.420 1.001  1200
r[16]      3.791  1.712   1.055   2.584   3.579   4.773   7.866 1.000  1200
r[17]      2.028  1.126   0.153   1.214   1.923   2.759   4.520 1.001  1200
r[18]     -3.782  1.765  -7.950  -4.762  -3.595  -2.511  -1.026 1.005   370
r[19]     -1.167  0.897  -3.039  -1.734  -1.160  -0.534   0.528 1.002  1200
r[20]     -1.128  0.897  -3.065  -1.696  -1.111  -0.499   0.560 1.006   310
r[21]     -1.981  1.072  -4.291  -2.663  -1.917  -1.248   0.024 1.000  1200
r[22]     -2.012  1.103  -4.600  -2.635  -1.908  -1.267  -0.146 1.001  1200
r[23]      0.574  0.822  -0.970  -0.006   0.568   1.127   2.272 1.006   490
r[24]      2.017  1.112   0.071   1.258   1.946   2.659   4.578 1.001  1200
r[25]      3.777  1.769   1.068   2.576   3.507   4.745   8.100 1.000  1200
r[26]     -0.538  0.840  -2.208  -1.099  -0.523   0.040   1.040 1.001  1200
r[27]      3.652  1.625   1.014   2.476   3.447   4.650   7.196 1.001  1200
r[28]     -0.009  0.798  -1.618  -0.544   0.004   0.515   1.594 1.004   460
r[29]      1.112  0.907  -0.572   0.507   1.090   1.682   2.967 1.004   520
r[30]     -3.881  1.834  -7.950  -4.994  -3.615  -2.516  -1.096 1.006   550
r[31]      3.854  1.818   1.113   2.530   3.631   4.831   8.068 1.001  1200
r[32]      2.065  1.136   0.118   1.284   1.944   2.737   4.612 1.002  1200
r[33]      3.774  1.731   1.136   2.557   3.492   4.748   8.005 1.002  1200
r[34]     -3.695  1.696  -7.474  -4.633  -3.542  -2.441  -1.082 1.003   540
r[35]     -1.115  0.909  -3.039  -1.670  -1.038  -0.509   0.538 1.001  1200
r[36]      1.183  0.938  -0.390   0.544   1.141   1.726   3.217 1.001  1200
r[37]      2.026  1.132   0.092   1.233   1.933   2.696   4.653 1.000  1200
r[38]      3.703  1.655   0.980   2.503   3.538   4.730   7.410 1.008   270
r[39]     -1.187  0.915  -3.048  -1.760  -1.140  -0.545   0.403 1.001  1200
r[40]     -2.017  1.065  -4.380  -2.668  -1.960  -1.265  -0.126 1.006   480
r[41]     -2.038  1.123  -4.412  -2.711  -1.948  -1.270  -0.139 1.000  1200
r[42]     -3.847  1.780  -7.977  -4.865  -3.611  -2.519  -1.046 1.005   360
r[43]     -3.774  1.750  -7.740  -4.817  -3.546  -2.546  -0.987 1.000  1200
r[44]      2.001  1.082   0.071   1.225   1.942   2.651   4.339 1.000  1200
r[45]      3.829  1.778   1.026   2.570   3.568   4.807   8.040 1.001  1200
r[46]      0.522  0.798  -0.904  -0.012   0.482   1.025   2.254 1.002   730
r[47]      2.029  1.109   0.136   1.254   1.934   2.716   4.544 1.002  1200
r[48]     -1.118  0.924  -2.982  -1.719  -1.118  -0.482   0.565 1.002  1200
r[49]      3.717  1.656   1.151   2.507   3.513   4.662   7.550 1.004  1200
r[50]     -2.039  1.084  -4.427  -2.740  -1.914  -1.303  -0.149 1.000  1200
r[51]      0.556  0.811  -1.000   0.009   0.527   1.083   2.208 1.003   720
r[52]      1.956  1.039   0.107   1.249   1.894   2.559   4.186 1.003   550
